CellID,SpotID,CellType
V3185,S2195,Neurogenesis
V3186,S773,Sic17ab
V3187,S35,Cajal Retzius
V3188,S1019,Sic17ab
V3189,S1593,Cajal Retzius
V3190,S1016,Neurogenesis
V3191,S2690,Microglia
V3192,S193,Dentate
V3193,S3048,Ependyma
V3194,S2245,Neurogenesis
V3195,S1811,Fibroblast
V3196,S3761,Choroid
V3197,S382,Cajal Retzius
V3198,S362,Neurogenesis
V3199,S1786,Neurogenesis
V3200,S2319,Polydendrocyte
V3201,S2430,Microglia
V3202,S943,Sic17ab
V3203,S467,Microglia
V3204,S1308,Cajal Retzius
V3205,S2205,Astrocyte
V3206,S3888,Choroid
V3207,S4231,Microglia
V3208,S3394,Cajal Retzius
V3209,S2090,Cajal Retzius
V3210,S3764,Choroid
V3211,S3073,Neurogenesis
V3212,S3058,Fibroblast
V3213,S4482,Cajal Retzius
V3214,S2982,Polydendrocyte
V3215,S3503,Choroid
V3216,S3544,Microglia
V3217,S1417,Ependyma
V3218,S3369,Fibroblast
V3219,S3514,Entorhinal
V3220,S628,Sic17ab
V3221,S3499,Astrocyte
V3222,S758,Sic17ab
V3223,S1659,Endothelial
V3224,S269,Sic17ab
V3225,S103,Sic17ab
V3226,S4274,Cajal Retzius
V3227,S714,Cajal Retzius
V3228,S2033,Microglia
V3229,S3809,Cajal Retzius
V3230,S1593,CA1
V3231,S705,Sic17ab
V3232,S3871,Ependyma
V3233,S3514,Cajal Retzius
V3234,S172,Entorhinal
V3235,S1756,Ependyma
V3236,S4155,Astrocyte
V3237,S3363,Ependyma
V3238,S4111,Cajal Retzius
V3239,S888,Cajal Retzius
V3240,S2953,Dentate
V3241,S1753,Microglia
V3242,S3083,Dentate
V3243,S676,Cajal Retzius
V3244,S4382,Neurogenesis
V3245,S170,Sic17ab
V3246,S540,Cajal Retzius
V3247,S611,Neurogenesis
V3248,S1973,Astrocyte
V3249,S39,Cajal Retzius
V3250,S506,Cajal Retzius
V3251,S2151,Sic17ab
V3252,S3891,Ependyma
V3253,S287,Sic17ab
V3254,S946,Cajal Retzius
V3255,S3976,Cajal Retzius
V3256,S415,Neurogenesis
V3257,S859,Neurogenesis
V3258,S3129,Cajal Retzius
V3259,S339,Cajal Retzius
V3260,S3309,Dentate
V3261,S769,Cajal Retzius
V3262,S1458,Cajal Retzius
V3263,S2295,Neurogenesis
V3264,S3009,Microglia
V3265,S3493,Entorhinal
V3266,S1550,Sic17ab
V3267,S1931,Cajal Retzius
V3268,S1257,Cajal Retzius
V3269,S4245,Ependyma
V3270,S3677,Cajal Retzius
V3271,S4083,Cajal Retzius
V3272,S2261,Polydendrocyte
V3273,S3439,Ependyma
V3274,S391,Cajal Retzius
V3275,S893,Neurogenesis
V3276,S2790,Dentate
V3277,S3747,Astrocyte
V3278,S3682,Dentate
V3279,S3783,Astrocyte
V3280,S921,CA1
V3281,S580,Cajal Retzius
V3282,S1399,Microglia
V3283,S3295,Endothelial
V3284,S3957,Ependyma
V3285,S2370,Neurogenesis
V3286,S3748,Cajal Retzius
V3287,S2504,Astrocyte
V3288,S2142,Entorhinal
V3289,S2665,Dentate
V3290,S153,Gad2
V3291,S2527,Ependyma
V3292,S2536,Cajal Retzius
V3293,S1583,Cajal Retzius
V3294,S2364,Cajal Retzius
V3295,S1969,Astrocyte
V3296,S4193,CA1
V3297,S3566,Ependyma
V3298,S957,Cajal Retzius
V3299,S4112,Cajal Retzius
V3300,S4055,Cajal Retzius
V3301,S878,Cajal Retzius
V3302,S2298,Dentate
V3303,S183,Cajal Retzius
V3304,S583,Cajal Retzius
V3305,S2882,Dentate
V3306,S3163,Cajal Retzius
V3307,S3454,Endothelial
V3308,S2336,Cajal Retzius
V3309,S1335,Neurogenesis
V3310,S2276,Dentate
V3311,S1660,Ependyma
V3312,S3636,Choroid
V3313,S1834,Microglia
V3314,S2139,Dentate
V3315,S2527,Dentate
V3316,S299,Cajal Retzius
V3317,S219,Cajal Retzius
V3318,S2563,Oligodendrocyte
V3319,S2981,Ependyma
V3320,S2725,Cajal Retzius
V3321,S1202,Neurogenesis
V3322,S941,Cajal Retzius
V3323,S1349,Fibroblast
V3324,S1680,Polydendrocyte
V3325,S1156,Cajal Retzius
V3326,S2327,Cajal Retzius
V3327,S1997,Endothelial
V3328,S4378,Gad2
V3329,S4183,Cajal Retzius
V3330,S3401,Cajal Retzius
V3331,S2024,Entorhinal
V3332,S2487,Cajal Retzius
V3333,S3463,Dentate
V3334,S39,Sic17ab
V3335,S3931,Neurogenesis
V3336,S3003,Polydendrocyte
V3337,S1260,Gad2
V3338,S1555,Neurogenesis
V3339,S1606,Microglia
V3340,S3123,Gad2
V3341,S628,Cajal Retzius
V3342,S4331,Ependyma
V3343,S1407,Ependyma
V3344,S764,Neurogenesis
V3345,S1266,Dentate
V3346,S3525,Polydendrocyte
V3347,S201,Sic17ab
V3348,S3878,Gad2
V3349,S3688,Neurogenesis
V3350,S4332,Dentate
V3351,S2300,Astrocyte
V3352,S103,Sic17ab
V3353,S1165,Dentate
V3354,S1468,Microglia
V3355,S667,Microglia
V3356,S2238,Neurogenesis
V3357,S2176,Neurogenesis
V3358,S1941,Dentate
V3359,S115,Fibroblast
V3360,S1134,Choroid
V3361,S1109,Neurogenesis
V3362,S2088,Polydendrocyte
V3363,S3392,Cajal Retzius
V3364,S3279,Dentate
V3365,S525,Cajal Retzius
V3366,S1291,Neurogenesis
V3367,S289,Cajal Retzius
V3368,S2173,Cajal Retzius
V3369,S3215,Gad2
V3370,S3778,Microglia
V3371,S2763,Neurogenesis
V3372,S2648,Neurogenesis
V3373,S4008,Cajal Retzius
V3374,S4415,Ependyma
V3375,S450,Cajal Retzius
V3376,S3259,Dentate
V3377,S4131,Polydendrocyte
V3378,S1240,Sic17ab
V3379,S1084,Sic17ab
V3380,S2120,Neurogenesis
V3381,S2136,Microglia
V3382,S3634,Choroid
V3383,S4472,Fibroblast
V3384,S2838,Polydendrocyte
V3385,S3252,Dentate
V3386,S1148,Cajal Retzius
V3387,S4295,Gad2
V3388,S506,Cajal Retzius
V3389,S565,Sic17ab
V3390,S2658,Astrocyte
V3391,S2961,Cajal Retzius
V3392,S3826,Choroid
V3393,S1123,Astrocyte
V3394,S2379,Microglia
V3395,S756,Cajal Retzius
V3396,S1287,Dentate
V3397,S1031,Dentate
V3398,S4040,Cajal Retzius
V3399,S200,Choroid
V3400,S711,Gad2
V3401,S1133,Dentate
V3402,S100,Dentate
V3403,S2147,Dentate
V3404,S4582,Cajal Retzius
V3405,S2815,Ependyma
V3406,S2043,Polydendrocyte
V3407,S1462,Polydendrocyte
V3408,S4081,Polydendrocyte
V3409,S79,Cajal Retzius
V3410,S1125,Neurogenesis
V3411,S2636,Sic17ab
V3412,S461,Ependyma
V3413,S595,Neurogenesis
V3414,S4294,Cajal Retzius
V3415,S1168,Cajal Retzius
V3416,S2574,Gad2
V3417,S3762,Choroid
V3418,S4205,Astrocyte
V3419,S2491,Astrocyte
V3420,S4376,Cajal Retzius
V3421,S4534,Neurogenesis
V3422,S1884,Astrocyte
V3423,S1378,Sic17ab
V3424,S2759,Cajal Retzius
V3425,S1291,Neurogenesis
V3426,S3680,Astrocyte
V3427,S2896,CA2CA3
V3428,S559,Cajal Retzius
V3429,S2383,Fibroblast
V3430,S342,Dentate
V3431,S2216,Fibroblast
V3432,S1147,Microglia
V3433,S3058,Microglia
V3434,S747,Sic17ab
V3435,S4189,Astrocyte
V3436,S3488,Dentate
V3437,S3694,Fibroblast
V3438,S3460,Cajal Retzius
V3439,S3723,Neurogenesis
V3440,S2122,Neurogenesis
V3441,S3361,Dentate
V3442,S2217,Cajal Retzius
V3443,S289,Cajal Retzius
V3444,S1759,Astrocyte
V3445,S2508,Endothelial
V3446,S4007,Entorhinal
V3447,S3148,Cajal Retzius
V3448,S1504,Gad2
V3449,S1798,Cajal Retzius
V3450,S3340,Endothelial
V3451,S229,Gad2
V3452,S448,Cajal Retzius
V3453,S4181,Entorhinal
V3454,S3877,Dentate
V3455,S831,Dentate
V3456,S1830,Dentate
V3457,S1018,Dentate
V3458,S1437,Neurogenesis
V3459,S2286,Cajal Retzius
V3460,S1165,Sic17ab
V3461,S128,Cajal Retzius
V3462,S4304,Cajal Retzius
V3463,S152,Cajal Retzius
V3464,S958,Choroid
V3465,S1322,Polydendrocyte
V3466,S359,Cajal Retzius
V3467,S1166,Neurogenesis
V3468,S2570,Polydendrocyte
V3469,S1481,Sic17ab
V3470,S3009,Cajal Retzius
V3471,S1612,Neurogenesis
V3472,S2093,Sic17ab
V3473,S2647,Dentate
V3474,S871,Sic17ab
V3475,S949,Ependyma
V3476,S4268,Cajal Retzius
V3477,S2032,Microglia
V3478,S3550,Astrocyte
V3479,S1051,Oligodendrocyte
V3480,S588,Endothelial
V3481,S3547,Neurogenesis
V3482,S3223,Fibroblast
V3483,S907,Polydendrocyte
V3484,S1743,Ependyma
V3485,S1905,Dentate
V3486,S4472,Astrocyte
V3487,S2162,Dentate
V3488,S3181,Cajal Retzius
V3489,S2647,CA1
V3490,S2399,Entorhinal
V3491,S3021,Entorhinal
V3492,S2228,Cajal Retzius
V3493,S2701,Polydendrocyte
V3494,S1933,Astrocyte
V3495,S2856,Astrocyte
V3496,S1809,Sic17ab
V3497,S486,Cajal Retzius
V3498,S1755,Microglia
V3499,S1819,Ependyma
V3500,S1804,Ependyma
V3501,S3189,Ependyma
V3502,S2921,Oligodendrocyte
V3503,S4008,Cajal Retzius
V3504,S2881,Dentate
V3505,S1777,Dentate
V3506,S524,Sic17ab
V3507,S3597,Cajal Retzius
V3508,S2699,Polydendrocyte
V3509,S1671,Microglia
V3510,S1831,Dentate
V3511,S2875,Astrocyte
V3512,S3416,Neurogenesis
V3513,S2052,Neurogenesis
V3514,S3951,Cajal Retzius
V3515,S4412,Cajal Retzius
V3516,S4318,Oligodendrocyte
V3517,S1727,Cajal Retzius
V3518,S2763,Dentate
V3519,S838,Sic17ab
V3520,S234,Cajal Retzius
V3521,S3200,Dentate
V3522,S1571,Cajal Retzius
V3523,S1072,Dentate
V3524,S520,Dentate
V3525,S3084,Neurogenesis
V3526,S3682,Astrocyte
V3527,S2683,Astrocyte
V3528,S3980,CA1
V3529,S4417,Cajal Retzius
V3530,S2140,Dentate
V3531,S3130,Dentate
V3532,S195,Entorhinal
V3533,S3871,Neurogenesis
V3534,S2750,Cajal Retzius
V3535,S4337,Entorhinal
V3536,S118,Neurogenesis
V3537,S1153,Astrocyte
V3538,S3902,Cajal Retzius
V3539,S1903,CA2CA3
V3540,S1087,Cajal Retzius
V3541,S1973,Microglia
V3542,S1746,Microglia
V3543,S1167,Ependyma
V3544,S1845,Choroid
V3545,S2705,Ependyma
V3546,S1284,Fibroblast
V3547,S623,Cajal Retzius
V3548,S1753,Cajal Retzius
V3549,S898,Microglia
V3550,S1561,Astrocyte
V3551,S515,Dentate
V3552,S3086,Cajal Retzius
V3553,S3699,Choroid
V3554,S1139,Cajal Retzius
V3555,S2122,Dentate
V3556,S113,Oligodendrocyte
V3557,S4368,Astrocyte
V3558,S3796,Dentate
V3559,S415,Sic17ab
V3560,S1815,Cajal Retzius
V3561,S1954,Cajal Retzius
V3562,S2122,Dentate
V3563,S4112,Cajal Retzius
V3564,S480,Endothelial
V3565,S1588,Entorhinal
V3566,S1419,Astrocyte
V3567,S1580,Cajal Retzius
V3568,S1069,Microglia
V3569,S1442,Cajal Retzius
V3570,S520,Neurogenesis
V3571,S576,Cajal Retzius
V3572,S457,Neurogenesis
V3573,S2679,Cajal Retzius
V3574,S2332,Cajal Retzius
V3575,S2478,Neurogenesis
V3576,S1480,Microglia
V3577,S957,Sic17ab
V3578,S2072,Dentate
V3579,S3046,Neurogenesis
V3580,S1846,Dentate
V3581,S4265,Microglia
V3582,S3698,Choroid
V3583,S4476,Cajal Retzius
V3584,S830,Sic17ab
V3585,S3379,Microglia
V3586,S508,Gad2
V3587,S3236,Dentate
V3588,S1461,Neurogenesis
V3589,S2606,Cajal Retzius
V3590,S350,Cajal Retzius
V3591,S2948,Astrocyte
V3592,S1774,Ependyma
V3593,S3520,Neurogenesis
V3594,S2906,Neurogenesis
V3595,S4271,Cajal Retzius
V3596,S1908,Astrocyte
V3597,S3065,Cajal Retzius
V3598,S869,Microglia
V3599,S3473,Oligodendrocyte
V3600,S1290,CA2CA3
V3601,S756,Cajal Retzius
V3602,S2090,Gad2
V3603,S2548,Cajal Retzius
V3604,S3343,Dentate
V3605,S2116,Polydendrocyte
V3606,S3782,Sic17ab
V3607,S3617,Astrocyte
V3608,S2506,Dentate
V3609,S3521,Neurogenesis
V3610,S355,Entorhinal
V3611,S2114,Microglia
V3612,S2603,Entorhinal
V3613,S2279,Ependyma
V3614,S3453,Dentate
V3615,S3165,Cajal Retzius
V3616,S136,Dentate
V3617,S3058,Polydendrocyte
V3618,S1450,Sic17ab
V3619,S3527,Cajal Retzius
V3620,S3412,Microglia
V3621,S4004,Choroid
V3622,S2625,Polydendrocyte
V3623,S1814,Dentate
V3624,S2099,Dentate
V3625,S1251,Dentate
V3626,S2171,Microglia
V3627,S3945,Neurogenesis
V3628,S3787,Neurogenesis
V3629,S4162,Microglia
V3630,S2679,Cajal Retzius
V3631,S3677,Microglia
V3632,S3929,Dentate
V3633,S4105,Dentate
V3634,S4280,Ependyma
V3635,S1715,Sic17ab
V3636,S4046,Neurogenesis
V3637,S2023,Neurogenesis
V3638,S1571,Dentate
V3639,S754,Gad2
V3640,S511,Neurogenesis
V3641,S3613,Astrocyte
V3642,S3095,Cajal Retzius
V3643,S2294,Dentate
V3644,S2171,Ependyma
V3645,S3682,Endothelial
V3646,S4066,Cajal Retzius
V3647,S1418,Astrocyte
V3648,S3128,Microglia
V3649,S2843,Oligodendrocyte
V3650,S3863,Microglia
V3651,S1967,Dentate
V3652,S2463,Cajal Retzius
V3653,S2172,Cajal Retzius
V3654,S2878,Dentate
V3655,S4192,Fibroblast
V3656,S2176,Entorhinal
V3657,S2377,Ependyma
V3658,S3821,Cajal Retzius
V3659,S3516,Astrocyte
V3660,S732,Cajal Retzius
V3661,S3530,Cajal Retzius
V3662,S2207,Dentate
V3663,S2840,Cajal Retzius
V3664,S2431,Dentate
V3665,S1301,Cajal Retzius
V3666,S1195,Neurogenesis
V3667,S2376,Neurogenesis
V3668,S1432,Dentate
V3669,S2622,Polydendrocyte
V3670,S2575,Dentate
V3671,S1700,Cajal Retzius
V3672,S2959,Microglia
V3673,S2083,Entorhinal
V3674,S2111,Microglia
V3675,S548,Polydendrocyte
V3676,S2211,Ependyma
V3677,S951,Ependyma
V3678,S3292,Neurogenesis
V3679,S1350,Astrocyte
V3680,S413,Neurogenesis
V3681,S255,Cajal Retzius
V3682,S3957,Neurogenesis
V3683,S17,Cajal Retzius
V3684,S523,Entorhinal
V3685,S2129,Polydendrocyte
V3686,S3449,Dentate
V3687,S2401,Cajal Retzius
V3688,S4471,Cajal Retzius
V3689,S348,Cajal Retzius
V3690,S3578,Fibroblast
V3691,S702,Neurogenesis
V3692,S2809,Dentate
V3693,S1156,Dentate
V3694,S1475,Neurogenesis
V3695,S478,Cajal Retzius
V3696,S696,Neurogenesis
V3697,S2870,Endothelial
V3698,S2950,Neurogenesis
V3699,S880,Neurogenesis
V3700,S291,Cajal Retzius
V3701,S1539,Oligodendrocyte
V3702,S1127,CA1
V3703,S924,Gad2
V3704,S1226,Ependyma
V3705,S352,Ependyma
V3706,S4120,Cajal Retzius
V3707,S3644,Cajal Retzius
V3708,S1163,Sic17ab
V3709,S1064,Neurogenesis
V3710,S4239,Cajal Retzius
V3711,S4450,Astrocyte
V3712,S1710,Dentate
V3713,S1043,Cajal Retzius
V3714,S980,Dentate
V3715,S4462,Cajal Retzius
V3716,S740,Cajal Retzius
V3717,S2169,Polydendrocyte
V3718,S3887,Choroid
V3719,S1581,Dentate
V3720,S2032,Astrocyte
V3721,S3927,Ependyma
V3722,S3962,Polydendrocyte
V3723,S2955,Sic17ab
V3724,S1043,Neurogenesis
V3725,S1213,Microglia
V3726,S4430,Polydendrocyte
V3727,S1735,Sic17ab
V3728,S3521,Polydendrocyte
V3729,S3375,Dentate
V3730,S4059,Ependyma
V3731,S4374,Cajal Retzius
V3732,S1747,Polydendrocyte
V3733,S562,Cajal Retzius
V3734,S2518,Astrocyte
V3735,S4596,Cajal Retzius
V3736,S1224,Cajal Retzius
V3737,S2094,Entorhinal
V3738,S2264,Polydendrocyte
V3739,S3206,Dentate
V3740,S4070,Astrocyte
V3741,S2528,Microglia
V3742,S1398,Dentate
V3743,S2585,Cajal Retzius
V3744,S4487,Ependyma
V3745,S3786,Polydendrocyte
V3746,S4109,Astrocyte
V3747,S3211,Cajal Retzius
V3748,S408,Microglia
V3749,S1798,Cajal Retzius
V3750,S2504,Astrocyte
V3751,S2555,Neurogenesis
V3752,S2245,Dentate
V3753,S3659,Neurogenesis
V3754,S4085,Cajal Retzius
V3755,S3181,Cajal Retzius
V3756,S2330,Neurogenesis
V3757,S4631,Cajal Retzius
V3758,S3251,Sic17ab
V3759,S2022,Cajal Retzius
V3760,S441,Sic17ab
V3761,S1870,Cajal Retzius
V3762,S1068,Cajal Retzius
V3763,S762,Dentate
V3764,S3748,Microglia
V3765,S1661,Neurogenesis
V3766,S2676,Microglia
V3767,S1226,Gad2
V3768,S3783,Entorhinal
V3769,S2183,Fibroblast
V3770,S1032,Sic17ab
V3771,S3580,Astrocyte
V3772,S2717,Microglia
V3773,S1165,Cajal Retzius
V3774,S903,Sic17ab
V3775,S2560,Entorhinal
V3776,S3870,Microglia
V3777,S2262,Neurogenesis
V3778,S2075,CA2CA3
V3779,S1100,Sic17ab
V3780,S2401,Sic17ab
V3781,S2064,Ependyma
V3782,S3698,Choroid
V3783,S2501,Fibroblast
V3784,S2824,Entorhinal
V3785,S3273,Ependyma
V3786,S1775,Dentate
V3787,S2063,Ependyma
V3788,S4247,Sic17ab
V3789,S4065,Cajal Retzius
V3790,S695,Entorhinal
V3791,S3962,Endothelial
V3792,S1044,Neurogenesis
V3793,S1724,Neurogenesis
V3794,S3143,Mural
V3795,S3956,Cajal Retzius
V3796,S2181,Sic17ab
V3797,S1116,Neurogenesis
V3798,S3792,Dentate
V3799,S1710,Sic17ab
V3800,S1358,Sic17ab
V3801,S653,Astrocyte
V3802,S390,Cajal Retzius
V3803,S1255,Dentate
V3804,S4542,Ependyma
V3805,S2761,Cajal Retzius
V3806,S661,Neurogenesis
V3807,S1936,Microglia
V3808,S4171,Choroid
V3809,S666,Gad2
V3810,S3175,Polydendrocyte
V3811,S592,Cajal Retzius
V3812,S1701,Neurogenesis
V3813,S3885,Astrocyte
V3814,S767,Astrocyte
V3815,S3046,Neurogenesis
V3816,S3946,Fibroblast
V3817,S683,Astrocyte
V3818,S2767,Polydendrocyte
V3819,S4597,Cajal Retzius
V3820,S1668,Sic17ab
V3821,S3110,Microglia
V3822,S3139,Astrocyte
V3823,S4221,Cajal Retzius
V3824,S1035,Gad2
V3825,S4654,Fibroblast
V3826,S741,Cajal Retzius
V3827,S2779,Polydendrocyte
V3828,S3659,Cajal Retzius
V3829,S3401,Cajal Retzius
V3830,S3847,Dentate
V3831,S1269,Endothelial
V3832,S3581,Astrocyte
V3833,S4340,Cajal Retzius
V3834,S3826,Choroid
V3835,S2509,Neurogenesis
V3836,S2083,Neurogenesis
V3837,S3634,Choroid
V3838,S4156,Neurogenesis
V3839,S1955,Dentate
V3840,S3064,Neurogenesis
V3841,S1106,Cajal Retzius
V3842,S4380,Endothelial
V3843,S4463,Ependyma
V3844,S1926,Astrocyte
V3845,S648,Sic17ab
V3846,S1346,Entorhinal
V3847,S3027,Neurogenesis
V3848,S3725,Ependyma
V3849,S3587,Cajal Retzius
V3850,S4424,Cajal Retzius
V3851,S1904,Dentate
V3852,S3634,Choroid
V3853,S2944,Astrocyte
V3854,S2582,Neurogenesis
V3855,S1734,Sic17ab
V3856,S1299,Cajal Retzius
V3857,S2608,Ependyma
V3858,S2958,Dentate
V3859,S939,Gad2
V3860,S2142,Cajal Retzius
V3861,S134,Cajal Retzius
V3862,S1443,Sic17ab
V3863,S592,Sic17ab
V3864,S2627,Dentate
V3865,S785,Neurogenesis
V3866,S1444,Cajal Retzius
V3867,S621,Cajal Retzius
V3868,S3644,Fibroblast
V3869,S3272,Cajal Retzius
V3870,S3372,Astrocyte
V3871,S463,Cajal Retzius
V3872,S3975,Cajal Retzius
V3873,S4265,Microglia
V3874,S4198,Sic17ab
V3875,S1425,Cajal Retzius
V3876,S4413,Cajal Retzius
V3877,S2213,Dentate
V3878,S3222,Fibroblast
V3879,S3157,Neurogenesis
V3880,S3321,Ependyma
V3881,S2291,Dentate
V3882,S2810,Dentate
V3883,S2816,Fibroblast
V3884,S4064,Cajal Retzius
V3885,S1667,Ependyma
V3886,S3267,Neurogenesis
V3887,S2769,Polydendrocyte
V3888,S408,Cajal Retzius
V3889,S923,Neurogenesis
V3890,S1066,Microglia
V3891,S2997,Microglia
V3892,S921,Neurogenesis
V3893,S3392,Cajal Retzius
V3894,S3457,Cajal Retzius
V3895,S116,Cajal Retzius
V3896,S2218,CA2CA3
V3897,S3547,Dentate
V3898,S241,Cajal Retzius
V3899,S3952,Cajal Retzius
V3900,S1943,Cajal Retzius
V3901,S3791,Cajal Retzius
V3902,S4114,Neurogenesis
V3903,S2141,Neurogenesis
V3904,S3688,Ependyma
V3905,S2694,Ependyma
V3906,S1558,Microglia
V3907,S1385,Sic17ab
V3908,S1795,Entorhinal
V3909,S4412,Astrocyte
V3910,S4217,Fibroblast
V3911,S3573,Polydendrocyte
V3912,S3904,Cajal Retzius
V3913,S453,Cajal Retzius
V3914,S4348,Microglia
V3915,S1842,Neurogenesis
V3916,S1348,Fibroblast
V3917,S852,Microglia
V3918,S4424,Cajal Retzius
V3919,S4017,Cajal Retzius
V3920,S3349,Neurogenesis
V3921,S3653,Astrocyte
V3922,S1582,Astrocyte
V3923,S3035,Dentate
V3924,S4581,Cajal Retzius
V3925,S2885,Neurogenesis
V3926,S1846,Dentate
V3927,S2391,Neurogenesis
V3928,S1364,Cajal Retzius
V3929,S2597,Cajal Retzius
V3930,S2992,Astrocyte
V3931,S3030,Dentate
V3932,S4124,Entorhinal
V3933,S1974,Sic17ab
V3934,S1671,Microglia
V3935,S4317,Astrocyte
V3936,S3702,Cajal Retzius
V3937,S1670,Entorhinal
V3938,S3282,Neurogenesis
V3939,S2739,Dentate
V3940,S189,Gad2
V3941,S3957,Cajal Retzius
V3942,S894,Sic17ab
V3943,S4100,Polydendrocyte
V3944,S3769,Cajal Retzius
V3945,S1514,Sic17ab
V3946,S248,Sic17ab
V3947,S3437,Choroid
V3948,S1419,Endothelial
V3949,S3480,Ependyma
V3950,S3452,Astrocyte
V3951,S3490,Endothelial
V3952,S3674,Entorhinal
V3953,S3784,Entorhinal
V3954,S2822,Astrocyte
V3955,S4382,Astrocyte
V3956,S2702,Neurogenesis
V3957,S2626,Polydendrocyte
V3958,S2193,Dentate
V3959,S508,Cajal Retzius
V3960,S594,Polydendrocyte
V3961,S1558,Astrocyte
V3962,S480,Cajal Retzius
V3963,S188,Cajal Retzius
V3964,S4212,Dentate
V3965,S4282,Entorhinal
V3966,S967,Cajal Retzius
V3967,S3881,Ependyma
V3968,S116,Cajal Retzius
V3969,S3682,Ependyma
V3970,S2612,Ependyma
V3971,S3537,Dentate
V3972,S3134,Dentate
V3973,S1922,Neurogenesis
V3974,S3400,Cajal Retzius
V3975,S3398,Neurogenesis
V3976,S1606,Polydendrocyte
V3977,S162,Cajal Retzius
V3978,S1883,Fibroblast
V3979,S1328,Microglia
V3980,S3225,Neurogenesis
V3981,S4364,Cajal Retzius
V3982,S3626,Cajal Retzius
V3983,S1296,Cajal Retzius
V3984,S1696,Endothelial
V3985,S978,Cajal Retzius
V3986,S4318,Microglia
V3987,S3511,Cajal Retzius
V3988,S1236,Astrocyte
V3989,S3082,Ependyma
V3990,S1587,Cajal Retzius
V3991,S1477,Cajal Retzius
V3992,S3715,Sic17ab
V3993,S4383,Cajal Retzius
V3994,S2737,Neurogenesis
V3995,S2199,CA1
V3996,S1017,Sic17ab
V3997,S3493,Endothelial
V3998,S1527,Cajal Retzius
V3999,S1055,Sic17ab
V4000,S1309,Sic17ab
V4001,S2053,Sic17ab
V4002,S4040,Cajal Retzius
V4003,S466,Neurogenesis
V4004,S2110,Cajal Retzius
V4005,S3044,Cajal Retzius
V4006,S1546,Dentate
V4007,S1633,Ependyma
V4008,S3283,Neurogenesis
V4009,S3426,Choroid
V4010,S3858,Cajal Retzius
V4011,S2316,Astrocyte
V4012,S1042,Cajal Retzius
V4013,S2406,Cajal Retzius
V4014,S102,Cajal Retzius
V4015,S3940,Mural
V4016,S3867,Astrocyte
V4017,S344,Cajal Retzius
V4018,S2314,Gad2
V4019,S3583,Astrocyte
V4020,S1410,Microglia
V4021,S4405,Ependyma
V4022,S631,Cajal Retzius
V4023,S4375,Cajal Retzius
V4024,S3498,Cajal Retzius
V4025,S469,Sic17ab
V4026,S4243,Entorhinal
V4027,S2109,Neurogenesis
V4028,S3352,Fibroblast
V4029,S3573,Polydendrocyte
V4030,S1009,Neurogenesis
V4031,S3103,Dentate
V4032,S173,Entorhinal
V4033,S1271,Astrocyte
V4034,S4096,Microglia
V4035,S2089,Microglia
V4036,S3695,Fibroblast
V4037,S4639,Microglia
V4038,S4001,Fibroblast
V4039,S679,Cajal Retzius
V4040,S3588,Cajal Retzius
V4041,S4088,Cajal Retzius
V4042,S2694,Neurogenesis
V4043,S3661,Sic17ab
V4044,S3001,Polydendrocyte
V4045,S1167,Astrocyte
V4046,S2174,Entorhinal
V4047,S2698,Gad2
V4048,S1790,Sic17ab
V4049,S3433,Astrocyte
V4050,S1149,Sic17ab
V4051,S447,Cajal Retzius
V4052,S3113,Sic17ab
V4053,S1089,Microglia
V4054,S715,Astrocyte
V4055,S2239,Cajal Retzius
V4056,S421,Cajal Retzius
V4057,S1634,Cajal Retzius
V4058,S1585,Astrocyte
V4059,S2558,Gad2
V4060,S986,Cajal Retzius
V4061,S1586,Cajal Retzius
V4062,S3219,Neurogenesis
V4063,S716,Entorhinal
V4064,S4405,Astrocyte
V4065,S893,Neurogenesis
V4066,S3636,Choroid
V4067,S4394,Cajal Retzius
V4068,S1697,Dentate
V4069,S4376,Cajal Retzius
V4070,S1865,Entorhinal
V4071,S2876,Microglia
V4072,S1614,Cajal Retzius
V4073,S3881,Dentate
V4074,S1942,Cajal Retzius
V4075,S3148,Polydendrocyte
V4076,S1332,Cajal Retzius
V4077,S2991,Astrocyte
V4078,S1213,Cajal Retzius
V4079,S2219,Dentate
V4080,S1081,Cajal Retzius
V4081,S3564,Microglia
V4082,S1730,Cajal Retzius
V4083,S3127,Sic17ab
V4084,S1919,Dentate
V4085,S2111,Polydendrocyte
V4086,S4316,Microglia
V4087,S2029,Neurogenesis
V4088,S1375,Endothelial
V4089,S475,Neurogenesis
V4090,S573,Cajal Retzius
V4091,S1261,Dentate
V4092,S2084,Neurogenesis
V4093,S2868,Neurogenesis
V4094,S1371,Neurogenesis
V4095,S3511,Sic17ab
V4096,S447,Cajal Retzius
V4097,S3465,Neurogenesis
V4098,S1808,Entorhinal
V4099,S1430,Ependyma
V4100,S2305,Ependyma
V4101,S2003,Neurogenesis
V4102,S1068,Microglia
V4103,S2697,Ependyma
V4104,S3199,Dentate
V4105,S3490,Neurogenesis
V4106,S684,Cajal Retzius
V4107,S1179,Ependyma
V4108,S1881,CA1
V4109,S2599,Dentate
V4110,S458,Cajal Retzius
V4111,S988,Dentate
V4112,S179,Gad2
V4113,S1780,Dentate
V4114,S2551,Polydendrocyte
V4115,S1263,Cajal Retzius
V4116,S4374,Dentate
V4117,S338,Cajal Retzius
